minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
8,0.9109999847412109,0.4379999923706055,Andrej Ilic,Head,MissedShots,Union Berlin,VfB Stuttgart,Christopher Trimmel,0.021803073585033417
17,0.750999984741211,0.549000015258789,Ilyas Ansah,RightFoot,Goal,Union Berlin,VfB Stuttgart,,0.019161006435751915
39,0.754000015258789,0.5740000152587891,Robert Skov,LeftFoot,MissedShots,Union Berlin,VfB Stuttgart,,0.032468199729919434
48,0.8619999694824219,0.46,Ilyas Ansah,RightFoot,Goal,Union Berlin,VfB Stuttgart,Andrej Ilic,0.0732509046792984
55,0.850999984741211,0.4420000076293945,Tom Rothe,LeftFoot,MissedShots,Union Berlin,VfB Stuttgart,Robert Skov,0.08000954240560532
55,0.855,0.47700000762939454,Danilho Doekhi,LeftFoot,BlockedShot,Union Berlin,VfB Stuttgart,Tom Rothe,0.07666545361280441
68,0.9119999694824219,0.500999984741211,Andrej Ilic,RightFoot,MissedShots,Union Berlin,VfB Stuttgart,Danilho Doekhi,0.1342596709728241
94,0.915,0.505,Leopold Querfeld,Head,MissedShots,Union Berlin,VfB Stuttgart,Josip Juranovic,0.09793679416179657
3,0.9180000305175782,0.5770000076293945,Andrej Ilic,Head,MissedShots,Borussia Dortmund,Union Berlin,Christopher Trimmel,0.09385769069194794
5,0.7530000305175781,0.25799999237060545,Christopher Trimmel,RightFoot,MissedShots,Borussia Dortmund,Union Berlin,Ilyas Ansah,0.012812618166208267
32,0.7730000305175782,0.485,Janik Haberer,RightFoot,BlockedShot,Borussia Dortmund,Union Berlin,Ilyas Ansah,0.026138760149478912
33,0.8959999847412109,0.54,Danilho Doekhi,Head,BlockedShot,Borussia Dortmund,Union Berlin,Christopher Trimmel,0.055175598710775375
41,0.86,0.7180000305175781,Andrej Ilic,RightFoot,MissedShots,Borussia Dortmund,Union Berlin,,0.41319555044174194
46,0.9330000305175781,0.505,Andrej Ilic,Head,SavedShot,Borussia Dortmund,Union Berlin,Christopher Trimmel,0.06602270901203156
47,0.919000015258789,0.5520000076293945,Andrej Ilic,Head,MissedShots,Borussia Dortmund,Union Berlin,Christopher Trimmel,0.03358783200383186
47,0.975999984741211,0.6029999923706054,Tom Rothe,LeftFoot,SavedShot,Borussia Dortmund,Union Berlin,Andrej Ilic,0.09598379582166672
62,0.81,0.41900001525878905,Janik Haberer,RightFoot,BlockedShot,Borussia Dortmund,Union Berlin,,0.032842207700014114
83,0.915,0.42700000762939455,Leopold Querfeld,Head,SavedShot,Borussia Dortmund,Union Berlin,Aljoscha Kemlein,0.02014651708304882
91,0.7019999694824218,0.5879999923706055,Leopold Querfeld,RightFoot,MissedShots,Borussia Dortmund,Union Berlin,,0.038927748799324036
92,0.924000015258789,0.5120000076293946,Andrej Ilic,Head,MissedShots,Borussia Dortmund,Union Berlin,Woo-Yeong Jeong,0.0856994166970253
4,0.7709999847412109,0.36400001525878906,Ilyas Ansah,RightFoot,BlockedShot,Union Berlin,Hoffenheim,Oliver Burke,0.04454461857676506
11,0.915,0.485,Oliver Burke,Head,MissedShots,Union Berlin,Hoffenheim,Ilyas Ansah,0.11861100792884827
18,0.8930000305175781,0.195,Oliver Burke,RightFoot,BlockedShot,Union Berlin,Hoffenheim,Rani Khedira,0.3569510579109192
