minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
1,0.8480000305175781,0.5529999923706055,Tim Lemperle,LeftFoot,ShotOnPost,Bayer Leverkusen,Hoffenheim,Fisnik Asllani,0.09233037382364273
15,0.914000015258789,0.675,Bazoumana Touré,Head,MissedShots,Bayer Leverkusen,Hoffenheim,Vladimir Coufal,0.011155196465551853
24,0.9369999694824219,0.6680000305175782,Fisnik Asllani,LeftFoot,Goal,Bayer Leverkusen,Hoffenheim,Bazoumana Touré,0.0646873190999031
30,0.7809999847412109,0.49900001525878906,Fisnik Asllani,RightFoot,MissedShots,Bayer Leverkusen,Hoffenheim,Wouter Burger,0.03391450643539429
35,0.8219999694824218,0.2520000076293945,Vladimir Coufal,LeftFoot,SavedShot,Bayer Leverkusen,Hoffenheim,Robin Hranác,0.024163702502846718
47,0.8490000152587891,0.7240000152587891,Bazoumana Touré,LeftFoot,SavedShot,Bayer Leverkusen,Hoffenheim,Wouter Burger,0.05594794824719429
51,0.78,0.445,Tim Lemperle,RightFoot,Goal,Bayer Leverkusen,Hoffenheim,Fisnik Asllani,0.0364379845559597
80,0.7619999694824219,0.56,Andrej Kramaric,RightFoot,SavedShot,Bayer Leverkusen,Hoffenheim,Alexander Prass,0.034161873161792755
83,0.860999984741211,0.54,Umut Tohumcu,LeftFoot,MissedShots,Bayer Leverkusen,Hoffenheim,,0.06802213937044144
91,0.8919999694824219,0.33799999237060546,Fisnik Asllani,RightFoot,BlockedShot,Bayer Leverkusen,Hoffenheim,Leon Avdullahu,0.08437187224626541
4,0.93,0.65,Fisnik Asllani,Head,MissedShots,Hoffenheim,Eintracht Frankfurt,Andrej Kramaric,0.013052430935204029
10,0.874000015258789,0.285,Fisnik Asllani,RightFoot,MissedShots,Hoffenheim,Eintracht Frankfurt,Tim Lemperle,0.04106198251247406
13,0.8519999694824218,0.710999984741211,Tim Lemperle,RightFoot,SavedShot,Hoffenheim,Eintracht Frankfurt,Bazoumana Touré,0.03205105662345886
21,0.7709999847412109,0.629000015258789,Umut Tohumcu,RightFoot,MissedShots,Hoffenheim,Eintracht Frankfurt,Fisnik Asllani,0.021310659125447273
28,0.8959999847412109,0.6029999923706054,Fisnik Asllani,RightFoot,MissedShots,Hoffenheim,Eintracht Frankfurt,Bazoumana Touré,0.05707121267914772
