minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
9,0.8469999694824218,0.585,Louis Oppie,RightFoot,MissedShots,St. Pauli,Borussia Dortmund,Arkadiusz Pyrka,0.0374305360019207
17,0.8590000152587891,0.675,Andréas Hountondji,LeftFoot,SavedShot,St. Pauli,Borussia Dortmund,Danel Sinani,0.2825362980365753
39,0.8959999847412109,0.5540000152587891,Pereira Lage,RightFoot,MissedShots,St. Pauli,Borussia Dortmund,Joel Chima Fujita,0.09123405069112778
49,0.9209999847412109,0.5059999847412109,Andréas Hountondji,Head,Goal,St. Pauli,Borussia Dortmund,Danel Sinani,0.05217396095395088
56,0.875999984741211,0.2989999961853027,Arkadiusz Pyrka,RightFoot,BlockedShot,St. Pauli,Borussia Dortmund,Andréas Hountondji,0.05073288455605507
64,0.8780000305175781,0.425,Pereira Lage,RightFoot,SavedShot,St. Pauli,Borussia Dortmund,Danel Sinani,0.0710497573018074
81,0.9080000305175782,0.385,Danel Sinani,RightFoot,SavedShot,St. Pauli,Borussia Dortmund,,0.06640016287565231
85,0.885,0.5,Danel Sinani,LeftFoot,Goal,St. Pauli,Borussia Dortmund,,0.75777667760849
88,0.7659999847412109,0.3240000152587891,Eric Smith,RightFoot,Goal,St. Pauli,Borussia Dortmund,Manolis Saliakas,0.019624507054686546
90,0.745,0.45799999237060546,Louis Oppie,LeftFoot,SavedShot,St. Pauli,Borussia Dortmund,,0.017386144027113914
97,0.8380000305175781,0.8180000305175781,Abdoulie Ceesay,RightFoot,MissedShots,St. Pauli,Borussia Dortmund,Louis Oppie,0.02137080766260624
17,0.7930000305175782,0.34,Danel Sinani,LeftFoot,BlockedShot,Hamburger SV,St. Pauli,Arkadiusz Pyrka,0.024588657543063164
17,0.9030000305175782,0.47900001525878905,Pereira Lage,RightFoot,BlockedShot,Hamburger SV,St. Pauli,,0.1307796686887741
18,0.919000015258789,0.415,Adam Dzwigala,RightFoot,Goal,Hamburger SV,St. Pauli,Pereira Lage,0.06307646632194519
40,0.894000015258789,0.5020000076293946,Pereira Lage,RightFoot,MissedShots,Hamburger SV,St. Pauli,,0.5914481282234192
44,0.725999984741211,0.7680000305175781,Louis Oppie,LeftFoot,MissedShots,Hamburger SV,St. Pauli,Danel Sinani,0.029561614617705345
55,0.764000015258789,0.40200000762939453,Danel Sinani,LeftFoot,BlockedShot,Hamburger SV,St. Pauli,Andréas Hountondji,0.024959411472082138
56,0.905,0.33099998474121095,Andréas Hountondji,LeftFoot,MissedShots,Hamburger SV,St. Pauli,Arkadiusz Pyrka,0.09861429035663605
59,0.9680000305175781,0.6959999847412109,Andréas Hountondji,LeftFoot,Goal,Hamburger SV,St. Pauli,Joel Chima Fujita,0.3010755181312561
61,0.88,0.36400001525878906,Pereira Lage,RightFoot,SavedShot,Hamburger SV,St. Pauli,Eric Smith,0.06121470034122467
72,0.9159999847412109,0.7080000305175781,Danel Sinani,LeftFoot,BlockedShot,Hamburger SV,St. Pauli,Pereira Lage,0.07813941687345505
77,0.7969999694824219,0.6419999694824219,Louis Oppie,RightFoot,SavedShot,Hamburger SV,St. Pauli,Pereira Lage,0.04337649419903755
79,0.8469999694824218,0.5520000076293945,James Sands,RightFoot,SavedShot,Hamburger SV,St. Pauli,,0.08161763101816177
80,0.875,0.2610000038146973,Joel Chima Fujita,RightFoot,MissedShots,Hamburger SV,St. Pauli,Danel Sinani,0.05253862217068672
86,0.885,0.3039999961853027,Martijn Kaars,RightFoot,SavedShot,Hamburger SV,St. Pauli,Manolis Saliakas,0.06250499933958054
87,0.7819999694824219,0.3189999961853027,Manolis Saliakas,LeftFoot,BlockedShot,Hamburger SV,St. Pauli,Martijn Kaars,0.034564707428216934
95,0.8069999694824219,0.3820000076293945,James Sands,LeftFoot,MissedShots,Hamburger SV,St. Pauli,,0.04077409952878952
