minute,X,Y,player,shotType,result,h_team,a_team,player_assisted,xG
44,0.035999999046325684,0.5429999923706055,Julian Chabot,LeftFoot,OwnGoal,RasenBallsport Leipzig,VfB Stuttgart,,0
28,0.9419999694824219,0.6990000152587891,David Raum,LeftFoot,MissedShots,Bayern Munich,RasenBallsport Leipzig,Nicolas Seiwald,0.0502757802605629
28,0.9259999847412109,0.3189999961853027,Loïs Openda,RightFoot,BlockedShot,Bayern Munich,RasenBallsport Leipzig,,0.04674576595425606
43,0.8619999694824219,0.32799999237060545,Xaver Schlager,RightFoot,BlockedShot,Bayern Munich,RasenBallsport Leipzig,Johan Bakayoko,0.054438427090644836
45,0.8209999847412109,0.3129999923706055,Johan Bakayoko,LeftFoot,BlockedShot,Bayern Munich,RasenBallsport Leipzig,Xaver Schlager,0.02903265506029129
45,0.765,0.42,Xaver Schlager,LeftFoot,MissedShots,Bayern Munich,RasenBallsport Leipzig,,0.012898026034235954
49,0.8959999847412109,0.3029999923706055,Johan Bakayoko,RightFoot,BlockedShot,Bayern Munich,RasenBallsport Leipzig,Loïs Openda,0.051909636706113815
57,0.914000015258789,0.5920000076293945,Nicolas Seiwald,RightFoot,BlockedShot,Bayern Munich,RasenBallsport Leipzig,Xaver Schlager,0.0999424085021019
58,0.855,0.3060000038146973,Bote Baku,LeftFoot,BlockedShot,Bayern Munich,RasenBallsport Leipzig,,0.030169857665896416
61,0.8240000152587891,0.5029999923706054,Antonio Nusa,RightFoot,MissedShots,Bayern Munich,RasenBallsport Leipzig,Rômulo,0.05595800653100014
82,0.805,0.2929999923706055,Christoph Baumgartner,RightFoot,SavedShot,Bayern Munich,RasenBallsport Leipzig,Bote Baku,0.01900630071759224
93,0.8040000152587891,0.6630000305175782,Antonio Nusa,RightFoot,BlockedShot,Bayern Munich,RasenBallsport Leipzig,Xavi Simons,0.02922726608812809
94,0.924000015258789,0.3970000076293945,Christoph Baumgartner,Head,MissedShots,Bayern Munich,RasenBallsport Leipzig,David Raum,0.04303041473031044
4,0.8619999694824219,0.47200000762939454,Christoph Baumgartner,RightFoot,MissedShots,RasenBallsport Leipzig,FC Heidenheim,,0.39224207401275635
